posx,posy,posz,tick,turn
43.0,0.7511,14.0,1,1
43.0,0.7511,14.0,1,2
43.0,0.7511,14.0,1,3
43.0,0.7511,14.0,1,4
43.0,0.7511,14.0,1,5
43.0,0.7511,14.0,1,6
43.0,0.7511,14.0,1,7
43.0,0.7511,14.0,1,8
43.26413,0.7511,14.142222,1,9
42.50541,0.75110006,13.888688,1,10
42.01065,0.7511,14.228066,1,11
42.01065,0.7511,14.228066,1,12
42.01065,0.7511,14.228066,1,13
42.01065,0.7511,14.228066,1,14
42.01065,0.7511,14.228066,1,15
42.01065,0.7511,14.228066,1,16
42.01065,0.7511,14.228066,1,17
42.01065,0.7511,14.228066,1,18
42.01065,0.7511,14.228066,1,19
42.01065,0.7511,14.228066,1,20
42.01065,0.7511,14.228066,1,21
42.01065,0.7511,14.228066,1,22
42.01065,0.7511,14.228066,1,23
42.01065,0.7511,14.228066,1,24
42.09879,0.7511,14.2752905,1,25
43.09169,0.7511,14.1567545,1,26
44.08459,0.7511,14.0382185,1,27
45.077488,0.7511,13.9196825,1,28
45.77252,0.7511,13.836707,1,29
46.562366,0.75110006,14.449929,1,30
47.35221,0.75110006,15.063151,1,31
47.35221,0.7511,15.063151,1,32
47.35221,0.7511,15.063151,1,33
47.35221,0.7511,15.063151,1,34
47.35221,0.7511,15.063151,1,35
47.35221,0.7511,15.063151,1,36
47.35221,0.7511,15.063151,1,37
47.35221,0.7511,15.063151,1,38
47.35221,0.7511,15.063151,1,39
47.35221,0.7511,15.063151,1,40
47.35221,0.7511,15.063151,1,41
47.35221,0.7511,15.063151,1,42
47.35221,0.7511,15.063151,1,43
47.35221,0.7511,15.063151,1,44
47.41713,0.7511,14.987095,1,45
47.486485,0.75110006,15.179901,1,46
47.62205,0.75110006,15.202552,1,47
47.820007,0.7511,15.934215,1,48
47.820004,0.75110006,16.97525,1,49
47.820004,0.7511,17.974525,1,50
47.820004,0.7511,18.671782,1,51
47.820004,0.7511,18.671782,1,52
47.820004,0.7511,18.671782,1,53
47.820004,0.7511,18.671782,1,54
47.820004,0.7511,18.671782,1,55
47.820004,0.7511,18.671782,1,56
47.820004,0.7511,18.671782,1,57
47.820004,0.7511,18.671782,1,58
47.820004,0.7511,18.671782,1,59
47.820004,0.7511,18.671782,1,60
47.820004,0.7511,18.671782,1,61
47.820004,0.7511,18.671782,1,62
47.820004,0.7511,18.968548,1,63
47.820004,0.7511,19.365242,1,64
47.808628,0.7511,19.615726,1,65
47.09799,0.7511001,20.30317,1,66
46.362194,0.75110006,20.9803,1,67
46.288616,0.7511,21.048014,1,68
46.288616,0.7511,21.048014,1,69
46.288616,0.7511,21.048014,1,70
46.288616,0.7511,21.048014,1,71
46.288616,0.7511,21.048014,1,72
46.288616,0.7511,21.048014,1,73
46.288616,0.7511,21.048014,1,74
46.288616,0.7511,21.048014,1,75
46.288616,0.7511,21.048014,1,76
46.288616,0.7511,21.048014,1,77
46.288616,0.7511,21.048014,1,78
46.288616,0.7511,21.048014,1,79
46.288616,0.7511,21.048014,1,80
46.288616,0.7511,21.048014,1,81
46.288616,0.7511,21.048014,1,82
46.28388,0.7511,20.948132,1,83
45.286522,0.75110006,21.020115,1,84
44.289165,0.75110006,21.092098,1,85
43.291813,0.75110006,21.164083,1,86
42.496212,0.7511,21.179993,1,87
42.496212,0.7511,21.179993,1,88
42.496212,0.7511,21.179993,1,89
42.496212,0.7511,21.179993,1,90
42.496212,0.7511,21.179993,1,91
42.496212,0.7511,21.179993,1,92
42.496212,0.7511,21.179993,1,93
42.496212,0.7511,21.179993,1,94
42.496212,0.7511,21.179993,1,95
42.496212,0.7511,21.179993,1,96
42.496212,0.7511,21.179993,1,97
42.496212,0.7511,21.179993,1,98
42.496212,0.7511,21.179993,1,99
42.496212,0.7511,21.179993,1,100
42.494747,0.7511,21.080008,1,101
41.49556,0.75110006,21.11905,1,102
40.496372,0.75110006,21.158089,1,103
39.49729,0.75110006,21.179996,1,104
38.700855,0.7511,21.179996,1,105
38.700855,0.7511,21.179996,1,106
38.700855,0.7511,21.179996,1,107
38.700855,0.7511,21.179996,1,108
38.700855,0.7511,21.179996,1,109
38.700855,0.7511,21.179996,1,110
38.700855,0.7511,21.179996,1,111
38.700855,0.7511,21.179996,1,112
38.700855,0.7511,21.179996,1,113
38.700855,0.7511,21.179996,1,114
38.700855,0.7511,21.179996,1,115
38.700855,0.7511,21.179996,1,116
38.700855,0.7511,21.179996,1,117
38.700855,0.7511,21.179996,1,118
38.700855,0.7511,21.179996,1,119
38.700855,0.7511,21.179996,1,120
